№,Предложение
4982,"У меня прекрасная любящая семья, есть сестра"
4983,"Папа – профессиональный музыкант, а мама – дизайнер интерьеров"
4984,"Я занимался спортом с юных лет, но там, где я рос, не было тренировочной базы, поэтому мама возила нас в центр, который находился в часе езды от дома"
4985,"Сестра занималась балетом, а я – боевыми искусствами"
4986,"Как-то я дожидался, когда у сестры закончится балетный класс, ко мне подошел ее педагог и сказал: «Вместо того, чтобы сидеть тут без дела, давай-ка записывайся в мой класс!»"
4987,И я еще и танцевать начал
4988,Я мечтал стать следующим Индианой Джонсом
4989,"Со временем мечты менялись – я хотел стать пилотом, увлекался археологией и грезил о нескончаемых путешествиях"
4990,Во мне всегда жил дух авантюризма
4991,"Боевыми искусствами я начал заниматься, когда мне было три года"
4992,"В группе я был самым маленьким, поэтому другие ребята меня даже за настоящего соперника не считали – кидали меня во все стороны"
4993,"Родители всегда были на моей стороне, поддерживали то, чем я увлекался"
4994,И позже во мне проснулся настоящий боец
4995,"В 17 лет я участвовал в одной программе по обмену студентами, в рамках которой на целый год поехал в Австралию, и занимался спортивной аэробикой"
4996,И следующие 10 лет я активно соревновался
4997,"Сначала я стал чемпионом страны, потом представлял Швейцарию на нескольких чемпионатах мира"
4998,"Многие годы я был в шаге от того, чтобы завоевать золото, в какой-то момент я даже решил бросить спорт и пойти дальше своей дорогой"
4999,Мои друзья уговорили меня остаться и попробовать еще раз
5000,И вот тогда я стал чемпионом мира!
5001,Этот день я не забуду никогда
5002,"Наверное, это один из самых волнительных моментов в моей жизни"
5003,А несколько лет назад я получил швейцарскую премию Swiss Award за работу в сфере развлечений
5004,Это очень престижная награда в моей стране
5005,Однажды я решился пройти открытый кастинг
5006,Я понравился и оказался в базе потенциально интересных артистов
5007,"К счастью, я очень терпелив"
5008,"Не поверишь, насколько: прошло 10 лет после того кастинга, прежде чем мне позвонили и сказали, что у меня подходящий бэкграунд для одной из ролей, на которую они ищут артиста"
5009,Так я оказался в шоу «ТОРУК – Первый полет»
5010,"Премьера состоялась 21 декабря 2015 года в Канаде, с тех пор мы безостановочно путешествуем по миру"
5011,"Мы уже выступали в Северной Америке, Азии, Австралии, Новой Зеландии, и вот сейчас у нас европейский тур"
5012,"Россия станет 22-й по счету страной, где увидят наше шоу, а Москва – 95-м городом"
5013,В среднем мы выступаем пять дней в неделю
5014,"Два оставшихся дня для труппы и сотрудников тура – либо выходные, либо трансфер в очередной гастрольный город"
5015,"Есть дни, когда у нас всего одно шоу: тогда мы приезжаем на площадку заранее, чтобы порепетировать"
5016,"За несколько часов до шоу мы начинаем наносить многоступенчатый грим, которым славятся все постановки Cirque du Soleil"
5017,"Если в день мы выступаем два раза, то на площадку выступлений приходится приезжать еще раньше"
5018,Серьезных травм у меня не было
5019,"Может, частично это можно списать на везение, но по большей части это результат качественной подготовки"
5020,"Перед каждым выходом на сцену я разогреваю мышцы, суставы и вхожу в особое состояние 100%-й готовности сделать то, что от меня требуется"
5021,Я могу книгу об этом написать
5022,Столько всего произошло за время гастрольной жизни!
5023,Во время выступлений в одном из североамериканских городов прямо в середине шоу мы услышали какой-то грохот
5024,Одна зрительница решила взобраться на сцену и стать частью вселенной Пандоры
5025,"Дама была одета во все белое, на контрасте со всеми артистами, которые носят костюмы всех оттенков синего – они представляют народ На’ви"
5026,"Мне кажется, ее настолько заворожило увиденное, что она захотела спасти Торука!"
5027,"На сцене она провела каких-то несколько минут, смогла вблизи рассмотреть наши костюмы, элементы сценографии, и, помахав нам рукой, просто ушла"
5028,При нашей жизни на колесах – а путешествуем мы большую часть года – нет возможности приехать домой к родителям на Рождество или какие-то семейные торжества
5029,"Близкие относятся с понимаем, скучают, конечно"
5030,"Мне иногда кажется, что мой лучший друг – это хорошая WiFi-сеть"
5031,При любой возможности я стараюсь видеться с родными
5032,"Но, конечно, ничто не заменит личного общения"
5033,Я рисую и занимаюсь графикой
5034,"Началось это как хобби, которое переросло в нечто большее"
5035,Сейчас я завален заказами
5036,"Мне кажется, что причудливые персонажи, которые я создаю, вселенные, над которыми я работаю, приносят мне душевное спокойствие"
5037,"Это своеобразная медитация, отдых от основной работы"
5038,Еще я обожаю готовить
5039,"Особенно острые тайские блюда, карри например!"
5040,"Я нашел любовь, путешествуя вместе с Cirque du Soleil"
5041,"И сегодня мы проводим все время вместе, меняя страны выступлений и приглашая зрителей во всем мире отправиться с нами в приключение в самое сердце луны Пандоры!"
5042,Разве жизнь не чудесна?
5043,"Мне кажется, что тема фильма «Варавва» вечна и как никогда актуальна и своевременна"
5044,"Поднимаются вопросы дружбы, любви, предательства, веры, поиска правды"
5045,"Лично я любой мейнстримовой попкорновой жвачке, пусть даже сделанной за огромные деньги, предпочту фильм со смыслом, который оставит после себя хорошее послевкусие"
5046,Я стараюсь никогда и ни о чем не жалеть
5047,"Понимаю, что у каждого человека свой путь и свое время"
5048,"Много что не получается, много того, что еще хотелось бы сыграть"
5049,"Но я сравниваю себя с собой предыдущим, а не с другими людьми"
5050,"И понимаю, что становлюсь лучше, развиваюсь"
5051,"Самые крутые и памятные съемки были, конечно, в 12-серийном проекте Жени Бедарева «Пока цветет папоротник»"
5052,"Это была первая главная роль в моей жизни, экспедиция на Алтай!"
5053,У нас была замечательная актерская команда и съемочная группа
5054,"Очень подружились тогда с Петровым – Саша не просто талантливый артист, он добрый и очень светлый человек, никогда не изменяет себе, своим принципам и всегда отвечает за слова"
5055,"Сейчас, к сожалению, общаемся чуть реже в силу занятости, но я знаю точно, что, если что-то в жизни произойдет, Саше всегда можно позвонить, попросить помощи и он никогда не откажет"
5056,Лучшее свидание в моей жизни было в школьные годы
5057,"Мы ездили на троллейбусе Б по Садовому кольцу, сидели на последних сиденьях, держались за руки и болтали"
5058,"Потом вместе поехали в лагерь, сидели у костра и пели песни!"
5059,Было круто
5060,А потом она переехала в другой город
5061,"Я вообще очень романтичный товарищ по своей природе, но чем старше становлюсь, тем больше во мне просыпается цинизма"
5062,"Идеальная девушка для меня – это человек, который слышит меня, чувствует, принимает таким, какой есть, но при этом не боится сказать: «Какую же хрень ты сейчас сделал!»"
5063,Я никогда не переносил хамства
5064,"У меня аллергия на него, если мне хамят – я сразу отвечаю"
5065,И не потерплю предательства
5066,Спрашивают об одном и постоянно: «Когда выйдет «Беловодье.Тайна затерянной страны»?»
5067,Это продолжение сериала «Пока цветет папоротник»
5068,"Но я, к сожалению, и сам не знаю"
5069,"Из последних фильмов могу посоветовать: «Дом, который построил Джек», «Зеленая книга», «Тоня против всех», «Звезда родилась»"
5070,И не забывайте про театр!
5071,"Если кто не видел «Евгения Онегина» Туминаса – просто немедленно бегите, это лучший спектакль для меня!"
5072,"Я окончательно решила, что стану актрисой, когда мне было лет девять"
5073,"Окружающие все мое детство говорили, что у меня артистичная внешность для «Ералаша»"
5074,"В итоге я взяла маму за руку и сказала: «Мам, пойдем в театральный кружок»"
5075,"Сейчас я довольна тем, как складывается моя карьера, мне нравится то количество работы, которое есть (я практически замужем за работой), меня часто узнают дети и подростки"
5076,Но мне хотелось бы большего отклика и от более старшей аудитории
5077,"И было бы здорово переориентироваться на полный метр, высказаться в каком-то большом кино, мне интересно было бы сыграть характерную главную роль"
5078,Это было бы для меня шагом и большим ростом
5079,"Творческих кризисов у меня не бывает, но часто приходят мысли, что надо двигаться дальше"
5080,"Надо что-то менять, с чем-то или кем-то расставаться и идти вперед"
5081,"Считаю, что нужно научиться замечать приближение кризиса и действовать"
5082,"Чем раньше ты заметишь, что тебя что-то не устраивает, ты хочешь двигаться в другом направлении, тем раньше ты решишь проблему"
5083,Моя героиня Машка – типичная девчонка с периферии
5084,"Она и герой Бори довольно горизонтальные персонажи, они не про покорение вершин, ребята просто живут, а мы наблюдаем за ними, за тем, как они существуют, едят, ссорятся, мирятся, влюбляются, злятся"
5085,"Кстати, больше всего мне запомнилось, когда мы снимали сцену из фантазии Бори"
5086,"Я лежала на белоснежной кровати в пустой белой комнате, в красном белье, а рядом выстроилась очередь из мужчин"
5087,Это было очень странное ощущение
5088,"Среди близких моих подруг – Юлька Топольницкая (мы сейчас вместе снимались в проекте «Нефутбол», который выйдет осенью) и Диана Пожарская"
5089,"С Дианой, правда, мы редко встречаемся, но всегда очень душевно"
5090,И очень много переписываемся
5091,"Мне кажется, у меня достаточно активная социальная жизнь, поэтому личное пространство я очень берегу"
5092,"В «Директ» пишут, конечно, приглашают на свидания, но я не реагирую"
5093,Мне трудно описать идеальное свидание
5094,"Я точно знаю, чего мужчина не должен делать"
5095,"Он не должен вести девушку в дорогущий ресторан, в который он сам никогда не ходит, чтобы произвести впечатление"
5096,"Не нужно представлять себя тем, кем ты не являешься"
5097,"Идеальное свидание, я думаю, это больше про честность"
5098,"Я сильно изменилась за 10 лет, и это нормально"
5099,На левом фото мне 19 лет – растущий организм с гормональными скачками
5100,"Я была крупненькая не потому, что много ела и набирала вес из-за еды"
5101,Просто у меня мама по своей конституции никогда не была худенькой
5102,"Мой максимальный вес был 64 кг, сейчас я вешу 56–57"
5103,"Специально никак не худею, но слежу за питанием"
5104,"Человек должен понимать, что в себя кладет, и душевно, и физически"
5105,Надо в этом быть избирательным
5106,"Режим, сон, воду и физические нагрузки никто не отменял"
5107,Я сейчас подсела на корейскую группу BTS
5108,"Молодые слащавые мальчики, которые очень круто поют и круто двигаются"
5109,"Я иногда сижу и любуюсь, смотрю их клипы"
5110,"Чувствую себя 14-летней девочкой, хочу попасть к ним на концерт"
5111,"Честно говоря, я никогда ни от кого не фанатела"
5112,"Не было у меня кумиров, но эти ребята как-то запали"
5113,"Я хотела собрать детскую команду очень давно, но было страшно!"
5114,"Ответственность нереальная, к ней я оказалась готова только два года назад"
5115,Мы просто пришли с Самохой в зал «PROТАНЦЫ» и стали отсматривать детей!
5116,Это был первый тур
5117,Дальше были мастер-классы в разных направлениях и с разными педагогами
5118,Ребята были абсолютно разные!
5119,"Кто-то раскрывался сразу, а кого-то приходилось подолгу мучить, чтобы понять, сработаемся мы или нет"
5120,"Если честно, родители: порой они так сильно врываются в процесс, что приходится напоминать им о том, кто и чем занимается, но они быстро остывают"
5121,Я же все понимаю – они хотят как лучше
5122,"Для педагогов главное – не забывать, что участники команды дети, и не требовать от них больше, чем их тело в таком возрасте может позволить"
5123,"В этом году мы заняли первое место на WOD в Португалии и имеем право летом поехать на мировой чемпионат, но объективно нам туда пока рановато, планируем добраться на следующий год"
5124,"А еще команда собирается в лагерь PROТАНЦЫ, где у ребят будут проходить тренировки"
5125,"А еще у меня две собаки, дом, родители и тд"
5126,"Надо просто начать, ресурсы сами откуда-то берутся"
5127,"Ну и конечно, я все это делала не одна"
5128,"У нас большая команда: большую часть программы PROMONKEYS ставил Дима Черкозьянов, часть делала Кристина Тутина, финал программы мы доверили Гарику Руднику"
5129,"И это еще не все, кто помогал!"
5130,На проекте «ТАНЦЫ» занятость круглосуточная
5131,"Мы либо постоянно репетируем, либо придумываем номера"
5132,"Мы никогда не кричим, что, попадая в нашу команду, участники «попадают в семью», но получается именно так!"
5133,Мы думаем о них постоянно
5134,"Со всеми, с кем я работаю!"
5135,"Было очень интересно, например, когда приезжал Jonte"
5136,На Западе другой подход в работе – наши участники не сразу «въехали» в такой режим
5137,Пару раз Jonte даже уходил из зала
5138,"В начале второго сезона шоу «ТАНЦЫ» я терпеть не могла Софу Кольбедюк, а на Юлианну Бухольц у меня была «почти аллергия» — а сейчас мы очень хорошо общаемся с обеими"
5139,Есть и наоборот истории
5140,"Когда сильно влюбляешься в человека, а он потом оказывается таким г*вном, что кроме, как вычеркнуть и нет других вариантов"
5141,"Не могу похвастаться режимом, хотя очень этого хотела бы: график непредсказуемый, особенно когда проект вместе с Мигелем"
5142,"О питании: я веган, и поэтому я не могу просто прийти и посоветовать своим детям стать веганами, чаще даю советы по питанию своим родителям"
5143,Даже не знаю
5144,"Сейчас я очень хочу заниматься животными, в детстве об этом не думала"
5145,Сложно ответить
5146,"Я периодически ощущаю это, но думаю, что это нормально"
5147,"Другое дело, что помимо танцев я занимаюсь еще многими вещами"
5148,И поэтому одно компенсирует другое в нужный момент
5149,"У меня «старомодные», но непоколебимые принципы"
5150,"Я никогда не играю в тех спектаклях, которые ставлю сам"
5151,Я никогда не допущу отлынивания на сцене
5152,"Если я не увижу радости на лице артиста при распределении ролей или замечу, что он не старается на сцене, я больше никогда не дам ему роль"
5153,Приглашенные режиссеры очень любят работать с «Сатириконом»
5154,"Тут рабочая среда и хорошая почва, на которой растет любое семя"
5155,"Конечно, люди, которые занимаются непосредственно творчеством, это все-таки люди особенные"
5156,"Не только артисты, есть те, кто работает рядом: монтировщики, осветители, звуковики, гримеры – это тоже творческие люди"
5157,"Их надо увлекать, они должны любить то, с чем имеют дело, они к этому должны добросовестно относиться"
5158,"Работают они все за деньги, конечно, но не ради денег"
5159,"Потому что ради денег нужно работать в другом месте, они здесь работают «не только по материальным соображениям»"
5160,"Важно, чтобы в театре обязательно была любовь, чтобы люди любили это место"
5161,Но должен быть и страх
5162,Должна быть какая-то внешняя сдерживающая сила
5163,"И, если ты творческое начальство, ты должен рождать не только обожание"
5164,Но и уважение
5165,"А в это понятие входит составляющая, которая называется страх"
5166,"А бояться должны – например, быть наказанными, быть уволенными или отруганными, – по-разному бывает"
5167,"Мы много времени проводим вместе, на одной любви не проедешь"
5168,К иммерсивным спектаклям отношусь с интересом
5169,"Там бывают талантливые вещи, а бывают не очень"
5170,Но я ещё вижу в новых направлениях какие-то опасности для профессии
5171,"Например, постдраматический театр почти исключил ряд самых трудных и «вкусных» актёрских приёмов: оценки у актёров, изменение, удивление – большое количество тонкостей в общении на сцене"
5172,"А это самое интересное, что может быть в актерском деле"
5173,Многократное участие артиста в постдраматических спектаклях понижает уровень его актерского мастерства
5174,"Бывают замечательные спектакли в авангарде, а бывает унылый авангард, скучный"
5175,Но осудить целое театральное направление у меня не хватает невежества
5176,Или мне нужно стать уже очень старым и начать брюзжать
5177,"Курьезные, неловкие ситуации на сцене случаются всё время, и я их очень не люблю"
5178,"В отличие от Юры Бутусова, который обожает накладки"
5179,"Ему кажется, что в это время артисты начинают очень живо все делать, даже если это разрушает то, что он сам построил"
5180,А я как артист не люблю накладок и «забавных случаев в театре»
5181,Их полно и всегда они меня ужасно раздражают
5182,"Когда кто-то не вышел, что-то не то сказали, все раскололись"
5183,Ужасные несмешные вещи почему-то на сцене кажутся очень смешными
5184,"Я реже, чем хотелось бы смотрю кино"
5185,Многого не вижу
5186,"Из последнего меня совершенно пронзил «Джокер», я был потрясен, что на другом конце планеты, совершенно в другой культуре, ощущение сегодняшней жизни, её тревог и боли так совпало с моим"
5187,"У меня было непростое отношение к таланту Тарантино, но я посмотрел «Однажды в Голливуде» и думаю, что это лучший его фильм, он меня очень порадовал"
5188,"Еще я посмотрел «Карп замороженный», «Братство», «Одессу» – все это тоже хорошо и мне было интересно"
5189,Я занимаюсь преподаванием уже совершенно неприличное количество лет
5190,Эта профессия требует огромных затрат душевных и физических сил
5191,"Но для меня она важна, так как необходимо воспитывать своих артистов"
5192,"Чтобы они приходили «не со своим уставом в чужой монастырь», а изучали «устав» своего будущего театра еще на студенческой скамье"
5193,"Я всегда боюсь ошибиться, поэтому при наборе на курс провожу обычно не три, а пять туров, за которыми следуют личные беседы и коллоквиумы"
5194,И все же характер человека на первых порах распознать не удается
5195,Нынешнее поколение студентов вызывает тревогу
5196,Многие из них лишены самолюбия
5197,Их очень трудно растормошить и даже обидеть в воспитательных целях
5198,Нет рычагов воздействия на них
5199,"Ругаешь его, а он не заводится"
5200,Не воткнешь в него шпагу!
5201,"А для актера наряду с дарованием важно наличие самолюбия, сильной воли"
5202,Молодые люди несут на себе отпечаток нашего технократического времени
5203,"Тревожно, что даже самые талантливые из них не привыкли «утрудняться»"
5204,"Сейчас стало больше соблазнов, а силы духа – меньше"
5205,"Ведь театр – это не служба, а служение"
5206,Они могут клясться в преданности театру
5207,Но при первом предложении сняться в сериале за большие деньги эти клятвы подвергаются испытанию на прочность
5208,Нынешние студенты не приучены читать
5209,"Они приходят из школы, не зная ничего!"
5210,Для них чтение – это вынужденный процесс (иначе не сдашь экзамены)
5211,Поэтому у них не работает воображение и отсутствует фантазия
5212,Театр – это моя жизнь
5213,У меня ничего другого нет
5214,"Я не мечтатель, а делатель"
5215,"И если я что-то хочу и люблю, то делаю это"
5216,Надо хотеть делать что-то реальное
5217,"Везет тому, кто этого заслуживает"
5218,"Бог замечает того, кто выпрыгивает ему навстречу"
5219,"Надо рыпаться, рыть землю…"
5220,"В начале года на канале «Россия» вышло в эфир несколько сериалов с моим участием, но я на себя всегда боюсь смотреть, поэтому даже друзьям не анонсирую"
5221,"А о проектах, которые еще не вышли, говорить не хочется"
5222,"Зато в театр, где я сама за себя в ответе, всегда зову знакомых и друзей, хотя потом и ругаю себя страшно"
5223,На актеров всегда лучше смотреть там – можно сделать собственные выводы об артисте
5224,"Но если я знаю, что в зале есть друзья, волнуюсь в сто раз больше!"
5225,"Приходите в Театр Булгакова на спектакли Сергея Алдонина (48) или в «Театр наций» на «Камень», будем дрожать вместе"
5226,"После «Папиных дочек» сложно было поддерживать отношения с ребятами, хоть мы и сроднились за столько лет, потому что у всех началась своя взрослая жизнь: учеба, работа, новые проекты"
5227,"Иногда мы встречаемся на каких-то мероприятиях и, конечно же, обнимаемся, целуемся, радуемся друг другу"
5228,Катя Старшова (как-то недавно приходила на мой спектакль с мамой
5229,Выросла так!
5230,Совсем уже взрослая девушка
5231,Красавица!
5232,"А была в начале съемок самой настоящей Пуговокой, пятилетней малышкой"
5233,"Наверное, в нашей профессии для того, чтобы часто видеться, надо заниматься общим делом"
5234,В спектакль Сергея Алдонина «Ромео и Джульетта» я сама попросилась
5235,Он был одним из режиссеров «Папиных дочек»
5236,"И я всегда ему буду благодарна, что он рискнул и дал мне эту роль, позволил выйти на большую сцену"
5237,Филиппа на роль Ромео Сергей сам пригласил
5238,Филипп меня очень поддерживал и помогал
5239,Без его поддержки я не справилась бы!
5240,"Мне было 14 лет, и до этого в театре я играла только в семь лет в мюзикле «Энни»"
5241,Филипп – надежный друг и партнер на сцене
5242,Он всегда подставит плечо и поможет вытянуть роль в самый плохой день
5243,Вот так мы с ним уже восемь лет и играем Ромео и Джульетту
5244,А теперь еще и в спектакле «Заговор по-английски» (по пьесе Скриба «Стакан воды»)
5245,"У меня роль Абигайль, он играет капитана Мэшема"
5246,"Так и получается, что после окончания сериала больше всех я общаюсь именно с Филиппом"
5247,Ну и с Сережей Алдониным
5248,Спорт я очень люблю!
5249,"Мне кажется, что из меня получилась бы хорошая спортсменка"
5250,Лет с 15 я стала ходить в спортзал
5251,"Я даже с обидой спрашивала маму, почему она меня в детстве в спортивную секцию не отдала"
5252,"Маме это и в голову не приходило, потому что она даже зарядку никогда в жизни не делала"
5253,А мне все нравится!
5254,"И теннис, и бокс, и коньки, и мотоспорт, и просто занятия на тренажерах"
5255,"Я понимаю, что такое «мышечная радость», а еще радость от того, что ты сделал это"
5256,"Питаться я стараюсь правильно, но без фанатизма"
5257,"Я за здоровый образ жизни, но, когда хочется чего-то вкусного и вредного, могу и похулиганить"
5258,Только потом обязательно даю себе чуть большую нагрузку в зале
5259,"Полюбить спорт, наверное, легче всего, когда рядом оказываются люди, которые тоже его любят"
5260,"Вот жили мы с мамой без спорта, не тужили, а потом я подружилась со спортсменами, и захотелось попробовать приблизиться к их форме"
5261,И уже в процессе я стала получать огромное удовольствие от самих занятий
5262,Участвовать в благотворительных мероприятиях я начала с довольно раннего возраста
5263,Впервые на встречу с пациентами детской онкологической клиники я попала в 12 лет
5264,"Это перевернуло мой мир, изменило понятие о счастье и заставило о многом задуматься"
5265,"Артистов часто привлекают к благотворительным проектам, и это правильно"
5266,"Для чего нужна медийность или известность, если они не могут принести пользы людям?"
5267,Чтобы потешить самолюбие?
5268,"Каждый из нас может привлечь свою целевую аудиторию для того, чтобы помогать людям, которым живется хуже, чем нам"
5269,"Согласиться стать попечителем фонда «Старость в радость» меня вдохновил во многом пример Юли Пересильд, когда начала принимать участие в ее спектакле для фонда «Галчонок» – «СтихоВарение»"
5270,"Когда общаешься с пожилыми одинокими людьми, начинаешь понимать о жизни что-то новое и прежде недоступное"
5271,"Никто ни от чего не застрахован в этой жизни: ни от болезней, ни от дурных поступков и фатальных ошибок, и все когда-то состарятся"
5272,"Лиза Олескина, например, директор фонда, занимается проблемами одиноких пожилых людей уже много лет, и благодаря ей многое меняется в их жизни"
5273,"Я от всей души благодарна Родиону Газманову и его команде за то, что ездит в дома престарелых со своим коллективом, везет инструменты, аппаратуру, дает настоящие профессиональные концерты для наших стариков, а потом еще в каждой палате для лежачих, для тех, кто не может прийти на концерт"
5274,"Разве это не чудо: своими глазами увидеть, как много добрых людей на свете?"
5275,Я на эту тему много могу говорить
5276,Лучше поехали с нами однажды!
5277,Это фильм о борьбе за жизнь и за любовь
5278,"Мой зритель сам решает, как принять мою картину"
5279,Съемки были длительными
5280,"Пандемия дала возможность немного отдохнуть, но внутри меня все равно шли процессы"
5281,"На «Кинотавре» очень разнообразная программа, и это круто"
5282,С любовью
5283,Нас было много
5284,"По поводу затрат – это к продюсерской группе, я не в курсе"
5285,Кому как
5286,Благодаря Высшим курсам у меня было много практики
5287,Это важный опыт
5288,Я об этом не думала
5289,"Я режиссер и актриса, в некоторых своих картинах я была художником-постановщиком"
5290,"Мне ближе всего режиссура, потому что творчество приносит мне счастье"
5291,Потому что во «Вмешательстве» как минимум выдающаяся Аня Чиповская
5292,"А еще это действительно очень искренняя и с большой любовью и трудом созданная мной, моей командой и моими продюсерами Олегом Евдокименко и Марикой Михарёвой картина"
5293,Я с удовольствием смотрю европейских режиссеров
5294,"Больше всех меня вдохновляют братья Дарденн, Михаэль Ханеке, Андреа Арнольд, Ксавье Долан, Ларс фон Триер"
5295,"Я уверена, что сейчас происходят прекрасные движения"
5296,"Очень много крутых онлайн-площадок, выдающихся сериалов (моё личное потрясение – «Чернобыль»)"
5297,Помимо этого очень много молодых одаренных авторов
5298,"Я считаю, что я известный, но я изначально отказывался от славы"
5299,"Когда меня приглашали в «Танцы», я им сказал, что всю жизнь здесь сидеть не буду"
5300,"Не хочу в кадр, не хочу быть знаменитым, не хочу ничего, потому что знаю, что это такое"
5301,"Мне хочется спокойно жить так, как я хочу"
5302,Я на «Фабрике» насытился этим сполна
5303,"Сейчас я один, и мне хорошо"
5304,"Меня не пугает одиночество, я очень люблю это состояние"
5305,"И привязываться ни к кому сейчас не хочу, да и незачем"
5306,"Во-первых, я осознал свою полиаморность"
5307,"Если в детстве общество наседало на всех, в том числе и на меня, по поводу какой-то моногамности в отношениях, то сейчас я понимаю, что это не для меня"
5308,"Я могу держать обет – так было в течение 11 лет, когда я был в отношениях"
5309,А сейчас не хочу
